Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
140725352,"State sovereignty and the role of the federal government : hearing before the Subcommittee on the Constitution, Federalism, and Property Rights of the Committee on the Judiciary, One H [Leather Bound]",Federalism State sovereignty and the role of the federal government : hearing before the Subcommitte,"Subcommitte, Federalism State sovereignty and the role of the federal government : hearing before the",One H [Leather Bound] State sovereignty and the role of the federal government : hearing before the ,"=""""","=""""",0,0.0,Generic,Leather Bound,68,2018,,,2024/01/07,to-read,to-read (#29),to-read,,,,0,0
781857,An American Dilemma: The Negro Problem and Modern Democracy Vol. 1,Gunnar Myrdal,"Myrdal, Gunnar",,"=""1560008563""","=""9781560008569""",0,4.11,Routledge,Paperback,812,1995,1944,,2024/01/07,to-read,to-read (#28),to-read,,,,0,0
3170610,Civil Litigation Research Project Final Report,David M. Trubek,"Trubek, David M.",,"=""091532900X""","=""9780915329007""",0,0.0,Univ of Wisconsin,Paperback,3,1983,1983,,2024/01/07,to-read,to-read (#27),to-read,,,,0,0
10204122,Civil Litigation: Process and Procedures,Thomas F. Goldman,"Goldman, Thomas F.",Alice Hart Hughes,"=""0135109434""","=""9780135109434""",0,4.00,Pearson College Div,Paperback,503,2011,2011,,2024/01/07,to-read,to-read (#26),to-read,,,,0,0
8413507,The Paralegal Professional: The Essentials,Thomas F. Goldman,"Goldman, Thomas F.",Henry R. Cheeseman,"=""0135064015""","=""9780135064016""",0,3.79,Prentice Hall,Paperback,528,2010,2010,,2024/01/07,to-read,to-read (#25),to-read,,,,0,0
5342509,Settled Out of Court : The Social Process of Insurance Claims Adjustment,H. Laurence Ross,"Ross, H. Laurence",,"=""0202302962""","=""9780202302966""",0,3.00,Routledge,Paperback,285,1980,1970,,2024/01/07,to-read,to-read (#24),to-read,,,,0,0
27409602,John Henry Wigmore and the Rules of Evidence: The Hidden Origins of Modern Law (Volume 1) (Studies in Constitutional Democracy),Andrew Porwancher,"Porwancher, Andrew",,"=""082622086X""","=""9780826220868""",0,5.00,University of Missouri,Hardcover,236,2016,,,2024/01/05,to-read,to-read (#23),to-read,,,,0,0
59655047,"Racism and the Making of Gay Rights: A Sexologist, His Student, and the Empire of Queer Love",Laurie Marhoefer,"Marhoefer, Laurie",,"=""1487523971""","=""9781487523978""",0,3.95,University of Toronto Press,Paperback,320,2022,,,2024/01/05,to-read,to-read (#22),to-read,,,,0,0
65947,Voluptuous Panic: The Erotic World of Weimar Berlin,Mel Gordon,"Gordon, Mel",,"=""1932595112""","=""9781932595116""",0,4.16,Feral House,Hardcover,305,2006,2006,,2024/01/05,to-read,to-read (#21),to-read,,,,0,0
41817540,"Oliver Wendell Holmes: A Life in War, Law, and Ideas",Stephen Budiansky,"Budiansky, Stephen",,"=""0393634728""","=""9780393634723""",0,4.21,W. W. Norton & Company,Hardcover,592,2019,2019,,2023/12/31,to-read,to-read (#20),to-read,,,,0,0
9537054,Consuming Mexican Labor: From the Bracero Program to NAFTA,Ronald L. Mize,"Mize, Ronald L.",Alicia C.S. Swords,"=""1442601574""","=""9781442601574""",0,3.75,"University of Toronto Press, Higher Education Division",Paperback,304,2010,2010,,2023/12/31,to-read,to-read (#19),to-read,,,,0,0
784741,"The Case Against Free Trade: GATT, NAFTA and the Globalization of Corporate Power An Earth Island Press Book",Jerry Brown,"Brown, Jerry",,"=""1556431694""","=""9781556431692""",0,3.81,North Atlantic Books,Paperback,240,1993,1993,,2023/12/31,to-read,to-read (#18),to-read,,,,0,0
1203146,"Women Working the NAFTA Food Chain: Women, Food and Globalization",Deborah Barndt,"Barndt, Deborah",,"=""189454935X""","=""9781894549356""",0,3.59,Sumach Press,Paperback,280,1999,1999,,2023/12/31,to-read,to-read (#17),to-read,,,,0,0
204121,The Children of NAFTA: Labor Wars on the U.S./Mexico Border,David Bacon,"Bacon, David",,"=""0520244729""","=""9780520244726""",0,4.34,University of California Press,Paperback,356,2004,2004,,2023/12/31,to-read,to-read (#16),to-read,,,,0,0
